ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2021-01-31 15:26:48,2021-01-31 15:26:48,0.038,10.0.0.182,3.235.96.209,51379,443,TCP,...AP...,0,0,2,279,1,225,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.051,   38.197,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:46,2021-01-31 15:26:46,0.058,172.217.4.78,10.0.0.182,443,52134,TCP,...AP...,0,0,6,334,6,741,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,   12.740,   15.526,    1.326,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:36,2021-01-31 15:26:37,0.922,10.0.0.153,224.0.0.251,5353,5353,UDP,........,0,0,2,478,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:31,2021-01-31 15:26:51,20.164,34.203.91.157,10.0.0.182,443,51479,TCP,...AP...,0,0,5,272,6,420,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0, 1996.926,   81.821,   36.697,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:38,2021-01-31 15:26:38,0.038,2601:246:d00:3510:4d5:6b14:15db:7d3b,2001:558:feed::2,40187,53,UDP,........,0,0,1,33,1,61,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:25,2021-01-31 15:26:51,25.930,34.203.91.157,10.0.0.182,443,51471,TCP,...AP...,0,0,8,1499,9,572,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0, 5609.934,    0.037,  280.885,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:38,2021-01-31 15:26:39,0.144,2607:f8b0:4004:810::2003,2601:246:d00:3510:4d5:6b14:15db:7d3b,443,64886,UDP,........,0,0,9,2778,6,3195,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:49,2021-01-31 15:26:49,0.004,2601:246:d00:3510:4d5:6b14:15db:7d3b,2603:1036:304:2838::2,52457,443,TCP,...AP...,0,0,4,80,4,1276,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    1.592,    0.051,    0.020,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:25,2021-01-31 15:26:25,0.038,2601:246:d00:3510:4d5:6b14:15db:7d3b,2001:558:feed::2,30211,53,UDP,........,0,0,1,33,1,61,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:25,2021-01-31 15:26:25,0.001,2603:1036:304:807::2,2601:246:d00:3510:4d5:6b14:15db:7d3b,443,52327,TCP,...AP...,0,0,1,136,1,20,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.039,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:44,2021-01-31 15:26:44,0.000,10.0.0.182,140.82.113.25,52270,443,TCP,...A....,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:45,2021-01-31 15:26:45,0.001,135.207.255.86,10.0.0.182,443,52274,TCP,...AP...,0,0,1,1173,1,32,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.075,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
